transect,Acanthurus triostegus,Acanthurus xanthopterus,Prionurus laticlavius,Actiniaria sp,Anthopleura sp,Apogon dovii,Nidorellia armata,Pentaceraster cumingi,Pharia pyramidata,Phataria unifascialis,Balistes polylepis,Sufflamen verres,Crassostrea rhizophorae,Crassostrea sp,Mytilidae sp,Pinctada mazatlanica,Pinna rugosa,Ophioblennius steindachneri,Caranx caballus,Gnathanodon speciosus,Periclimenes soror,Euaxoctopus panamensis,Chaetodon humeralis,Johnrandallia nigrirostris,Cirrhitichthys oxycephalus,Cirrhitus rivulatus,Balanus sp,Macrura sp,Percnon planissimum,Trapezia ferruginea,Enoplometopidae sp,Demospongiae cafe,Demospongiae morada,Demospongiae sp,Demospongiae verde,Diodon holocanthus,Diodon hystrix,Diadema mexicanum,Eucidaris thouarsii,Toxopneustes roseus,Tripneustes depressus,Anchoa eigenmannia,Fistularia commersonii,Acanthais brevidentata,Conus nux,Conus purpurascens,Elysia diomedea,Fissurella virescens,Hexaplex princeps,Lobatus galeatus,Nerita funiculata,Nerita scabricosta,Opeatostoma pseudodon,Siphonaria gigas,Triplofusus princeps,Turridae sp,Vasula melones,Anisotremus taeniatus,Haemulon flaviguttatum,Haemulon maculicauda,Haemulon sexfasciatum,Haemulon steindachneri,Pocillopora sp,Porites lobata,Porites sp,Sargocentron suborbitalis,Euapta godeffroyi,Holothuria impatiens,Macrorhynchia philippina,Plumularia sp,Stenorhynchus debilis,Kyphosus elegans,Bodianus diplotaenia,Halichoeres chierchiae,Halichoeres dispilus,Thalassoma lucasanum,Lutjanus argentiventris,Lutjanus guttatus,Mulloidichthys dentatus,Echidna nebulosa,Gymnothorax dovii,Gymnothorax panamensis,Muraena clepsydra,Leptogorgia alba,Muricea fruticosa,Pacifigorgia sp,Myrichthys tigrinus,Ophiocoma aethiops,Ophiolepis variegata,Paguroidea sp,Sabellidae sp,Spirobranchus sp,Chiton sp,Holacanthus passer,Pomacanthus zonipectus,Abudefduf concolor,Abudefduf troschelii,Chromis atrilobata,Microspathodon bairdii,Microspathodon dorsalis,Stegastes acapulcoensis,Stegastes flavilatus,Scarus ghobban,Scarus perrico,Scorpaena mystes,Alphestes immaculatus,Epinephelus labriformis,Epinephelus panamensis,Paranthias colonus,Rypticus bicolor,Serranus psittacinus,Arothron hispidus,Arothron meleagris,Canthigaster punctatissima,Rhopalaea birkelandi,Zanclus cornutus,Dendrochirotida sp
A1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,44,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,5,3,0,0,5,0,14,0,0,0,0,3,0,0,0,0,0,0,0,11,1,5
A2,0,0,2,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,2,1,0,3,92,0,0,0,0,0,0,0,0,0,0,7,0,0,0,156,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,26,5,21,0,0,0,0,0,3,0,1,9,0,0,2,5,0,0,99,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1,15,107,0,18,0,33,0,0,0,0,3,3,0,0,1,0,0,0,44,0,6
A3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0,1,0,0,0,2,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,3,30,6,0,0,0,1,0,0,0,0,0,1,0,3,10,0,0
A4,0,0,1,0,0,0,0,0,0,0,0,0,31,0,2,0,0,20,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2,7,0,0,160,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,1,0,0,0,41,7,0,0,63,0,12,0,0,0,0,2,12,0,0,0,0,0,0,55,0,0
A5,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,11,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,16,17,15,0,14,0,24,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0
B6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,2,0,2,18,0,0,1,16,0,0,78,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,20,11,212,0,7,0,23,0,1,0,0,2,3,0,0,12,0,0,0,30,0,18
B7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,2,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,6,19,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,21,0,12,0,0,11,32,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
B8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,15,0,0,0,0,0,0,0,4,0,1,100,0,0,0,0,0,0,8,0,0,0,51,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,5,0,0,25,0,3,25,0,0,0,0,0,0,0,0,13,0,0,0,1,1,20,35,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,94,0,1,0,0,32,0,0,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
B9,0,0,0,0,0,0,0,0,0,0,5,3,1,0,2,0,0,0,11,2,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,50,0,0,0,4,0,15,4,0,0,0,3,0,0,0,0,0,53,28,0,0,0,0,0,0,0,0,22,0,0,0,3,0,0,47,0,0,0,0,0,0,0,10,4,10,0,0,0,0,0,15,0,4,0,14,51,10,0,23,0,4,0,2,0,0,11,5,0,0,0,2,0,0,94,0,0
B10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,4,11,32,0,0,0,0,0,2,9,0,0,18,0,0,0,3,0,0,52,0,4,0,0,0,0,0,4,0,5,0,0,0,0,0,9,0,4,0,21,20,50,0,11,0,0,0,2,0,0,7,16,0,0,0,0,0,0,91,0,0
