idref,province,lat,lon,locality,siteref,transect,m2,vert_invert,phylum,taxa,sp,sp_code,length,abundance
1,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Carangidae,Gnathanodon speciosus,GNA_SPE,20,5
2,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Haemulidae,Haemulon maculicauda,HAE_MAC,15,4
3,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Pomacentridae,Microspathodon dorsalis,MIC_DOR,25,2
4,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Pomacentridae,Microspathodon dorsalis,MIC_DOR,30,3
5,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Pomacentridae,Abudefduf troschelii,ABU_TRO,10,3
6,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Pomacentridae,Abudefduf concolor,ABU_CON,5,5
7,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,10,6
8,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,15,8
9,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Cirrhitidae,Cirrhitus rivulatus,CIR_RIV,15,1
10,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Serranidae,Epinephelus labriformis,EPI_LAB,15,1
11,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Serranidae,Epinephelus labriformis,EPI_LAB,20,2
12,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Zanclidae,Zanclus cornutus,ZAN_COR,20,1
13,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,5,11
14,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,10,32
15,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,15,1
16,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Labridae,Bodianus diplotaenia,BOD_DIP,15,2
17,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Vertebrados,Chordata,Kyphosidae,Kyphosus elegans,KYP_ELE,35,2
18,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,5,1
19,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Mollusca,Polyplacophora,Chiton sp,CHI_SP,10,1
20,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Echinodermata,Echinoidea,Diadema mexicanum,DIA_MEX,5,3
21,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Echinodermata,Holothuroidea,Holothuria impatiens,HOL_IMP,10,2
22,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Echinodermata,Dendrochirotida,Dendrochirotida sp,DEN_SP,5,5
23,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Cnidaria,Octocorallia,Leptogorgia alba,LEP_ALB,15,1
24,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,5,1
25,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Cnidaria,Octocorallia,Muricea fruticosa,MUR_FRU,15,1
26,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Cnidaria,Octocorallia,Muricea fruticosa,MUR_FRU,10,1
27,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Cnidaria,Octocorallia,Pacifigorgia sp,PAC_SP,15,3
28,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Echinodermata,Asteroidea,Phataria unifascialis,PHA_UNI,10,1
